,Facility.Name,Facility.City,Facility.State Name,Facility.State Abbreviation,Rating.Effectiveness,Procedure.Hip Knee.Cost,Rating.Mortality,Rating.Overall,Procedure.Heart Failure.Value,Rating.Timeliness,Rating.Experience,Procedure.Hip Knee.Quality,Procedure.Heart Attack.Quality,Procedure.Heart Failure.Quality,Procedure.Hip Knee.Value,Procedure.Pneumonia.Quality,Rating.Imaging,Facility.Type,Rating.Safety,Rating.Readmission,Procedure.Heart Attack.Value,Procedure.Pneumonia.Value,Procedure.Pneumonia.Cost,Procedure.Heart Attack.Cost,Procedure.Heart Failure.Cost
782,Mclaren Thumb Region,Bad Axe,Michigan,MI,Same,21881,Same,4,Average,Above,Same,Average,Average,Average,Average,Average,Below,Private,Above,Above,Average,Lower,15174,21165,14901
783,"Beaumont Hospital, Royal Oak",Royal Oak,Michigan,MI,Same,21229,Above,3,Higher,Below,Same,Better,Better,Better,Lower,Better,Same,Private,Below,Below,Average,Higher,18394,23734,17595
784,Mclaren Flint,Flint,Michigan,MI,Same,18612,Same,1,Higher,Below,Below,Average,Average,Average,Lower,Average,Below,Private,Below,Below,Higher,Higher,19558,25967,18876
785,Beaumont Hospital - Wayne,Wayne,Michigan,MI,Same,26273,Same,2,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Average,Average,17859,24245,18185
786,Henry Ford Wyandotte Hospital,Wyandotte,,MI,Same,21788,Same,2,Higher,Below,Below,Average,Average,Average,Average,Average,Above,Private,Below,Below,Average,Higher,19307,24823,17695
787,Beaumont Hospital - Farmington Hills,Farmington Hills,Michigan,MI,Same,21504,Above,3,Higher,Below,Below,Average,Average,Better,Average,Average,Same,Private,Above,Below,Average,Higher,19035,23137,18462
788,St Joseph Mercy Hospital,Ann Arbor,Michigan,MI,Same,20788,Above,3,Lower,Below,Above,Average,Better,Better,Lower,Average,Same,Church,Below,Above,Average,Average,17258,23532,15612
789,Ascension St John Hospital,Detroit,Michigan,MI,Same,21154,Same,2,Higher,Below,Below,Better,Average,Average,Lower,Average,Same,Church,Above,Below,Average,Higher,18742,23997,17965
790,Mclaren Greater Lansing,Lansing,Michigan,MI,Same,18001,Same,3,Lower,Below,Same,Better,Average,Worse,Lower,Average,Below,Private,Above,Above,Average,Average,17285,23274,15528
791,Beaumont Hospital - Trenton,Trenton,Michigan,MI,Same,19305,Above,5,Average,Same,Above,Average,Average,Average,Lower,Better,Below,Private,Above,Above,Average,Average,17969,24775,16790
792,Mclaren Lapeer Region,Lapeer,Michigan,MI,Same,20508,Same,3,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Higher,Higher,18774,26383,17448
793,St John Macomb-oakland Hospital-macomb Center,Warren,Michigan,MI,Same,22104,Same,2,Higher,Below,Below,Average,Average,Better,Average,Average,Below,Private,Below,Below,Average,Higher,19286,23382,18584
794,Genesys Regional Medical Center - Health Park,Grand Blanc,Michigan,MI,Below,19273,Above,2,Average,Below,Below,Average,Average,Average,Lower,Better,Above,Church,Below,Below,Average,Higher,18562,22096,17155
795,Mclaren Oakland,Pontiac,Michigan,MI,Below,21635,Same,3,Average,Above,Below,Average,Average,Better,Average,Average,Below,Private,Above,Below,Average,Higher,19756,22092,17201
796,Mclaren Port Huron,Port Huron,Michigan,MI,Same,21905,Below,3,Average,Above,Same,Average,Average,Worse,Average,Average,Same,Private,Above,Below,Lower,Average,18339,20124,15791
797,Mclaren Macomb,Mount Clemens,Michigan,MI,Below,17794,Same,3,Average,Below,Below,Average,Average,Average,Lower,Average,Below,Private,Above,Above,Lower,Higher,18632,21245,16999
798,Metro Health Hospital,Wyoming,Michigan,MI,Same,19061,Same,4,Average,Above,Above,Average,Average,Average,Lower,Average,Same,Private,Below,Above,Average,Average,17355,21348,15452
799,Chippewa County War Memorial Hospital,Sault Sainte Marie,Michigan,MI,Same,22212,Below,3,Lower,Same,Above,Average,Average,Average,Average,Average,Same,Private,Below,Above,Average,Lower,13812,23161,14586
800,Garden City Hospital,Garden City,Michigan,MI,Same,24988,Above,2,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Private,Above,Below,Higher,Higher,20520,27067,18231
801,Ascension Crittenton Hospital,Rochester,Michigan,MI,Same,21457,Same,3,Average,Same,Above,Average,Average,Average,Average,Average,Same,Private,Below,Above,Average,Average,17713,23634,17078
802,"Beaumont Hospital, Troy",Troy,Michigan,MI,Same,22218,Above,5,Average,Same,Same,Better,Average,Better,Average,Better,Same,Private,Above,Below,Average,Average,17848,22684,16873
803,Beaumont Hospital - Taylor,Taylor,,MI,Same,23055,Same,4,Higher,Below,Same,Average,Average,Average,Higher,Average,Same,Private,Above,Same,Average,Higher,19890,24369,19461
804,Detroit Receiving Hospital & Univ Health Center,Detroit,Michigan,MI,Same,26234,,2,Average,Below,Below,Average,Average,Better,Higher,Average,Same,Proprietary,Below,Below,Average,Average,18045,24667,16546
805,Huron Valley-sinai Hospital,Commerce Township,,MI,Same,20825,Same,3,Higher,Above,Same,Average,Average,Average,Lower,Average,Below,Proprietary,Same,Same,Average,Average,17004,25116,18019
806,Henry Ford West Bloomfield Hospital,West Bloomfield,Michigan,MI,Same,19740,Above,5,Average,Same,Above,Average,Average,Average,Lower,Better,Same,Private,Above,Above,Average,Average,17161,25038,16390
807,North Memorial Medical Center,Robbinsdale,Minnesota,MN,Same,19482,Same,2,Average,Same,Below,Average,Average,Average,Lower,Average,Above,Private,Below,Above,Average,Average,17862,22725,15964
808,Essentia Health St Mary's Medical Center,Duluth,,MN,Same,18661,Same,4,Average,Same,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,17268,24574,16834
809,Hennepin County Medical Center 1,Minneapolis,Minnesota,MN,Same,23298,Same,1,Average,Same,Below,Average,Average,Average,Average,Average,Same,Government,Below,Below,Average,Average,18585,24404,16632
810,Mayo Clinic Hospital Rochester,Rochester,Minnesota,MN,Same,19163,Above,5,Average,Same,Above,Better,Average,Better,Lower,Better,Above,Church,Above,Above,Average,Average,17571,23482,16911
811,St Cloud Hospital,Saint Cloud,Minnesota,MN,Same,20032,Above,5,Average,Same,Above,Average,Average,Better,Lower,Average,Same,Private,Above,Above,Average,Average,18234,24751,16348
812,United Hospital,Saint Paul,Minnesota,MN,Same,19915,Same,4,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Below,Average,Average,18001,25436,17808
813,Mayo Clinic Health System - Albert Lea And Austin,Albert Lea,Minnesota,MN,Same,19730,Above,5,Average,Same,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,17644,23388,15899
814,St Lukes Hospital,Duluth,Minnesota,MN,Same,23329,Same,3,Average,Above,Above,Worse,Average,Average,Higher,Average,Same,Private,Below,Above,Average,Average,17193,25466,16301
815,Park Nicollet Methodist Hospital,Saint Louis Park,Minnesota,MN,Above,20060,Above,3,Average,Same,Above,Average,Average,Average,Lower,Better,Above,Private,Below,Below,Average,Average,17526,25236,15615
816,Ridgeview Medical Center,Waconia,Minnesota,MN,Same,20162,,3,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Below,Above,Average,Lower,15119,24210,15605
817,Abbott Northwestern Hospital,Minneapolis,Minnesota,MN,Same,19259,,4,Higher,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Same,Above,Lower,Average,17981,21776,18218
818,St Joseph's Hospital,Saint Paul,,MN,Same,20531,Same,2,Average,Same,Below,Average,Average,Average,Lower,Better,Same,Private,Below,Above,Average,Average,16997,24379,16983
819,Essentia Health St Joseph's Medical Center,Brainerd,Minnesota,MN,Same,18713,Same,4,Lower,Above,Above,Average,Average,Average,Lower,Average,Same,Private,Below,Same,Average,Average,16363,22346,15235
820,"University Of Minnesota  Medical Center, Fairview",Minneapolis,Minnesota,MN,Same,20775,Same,3,Higher,Below,Same,Average,Average,Average,Average,Average,Above,Private,Above,Below,Average,Average,18714,26833,18134
821,Mayo Clinic Health System - Mankato,Mankato,Minnesota,MN,Same,22855,Same,4,Average,Above,Same,Average,Average,Average,Average,Average,Same,Private,Above,Above,Average,Average,18299,24133,16538
822,Sanford Bemidji Medical Center,Bemidji,Minnesota,MN,Same,19383,Same,2,Average,Same,Below,Average,Average,Average,Lower,Average,Same,Private,Below,Above,Average,Lower,15481,22054,15581
823,Regions Hospital,Saint Paul,Minnesota,MN,Same,20738,Same,3,Average,Same,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Below,Average,Average,16570,24062,16507
824,Mercy Hospital,Coon Rapids,Minnesota,MN,Same,19407,Same,4,Average,Below,Same,Average,Average,Average,Lower,Average,Above,Private,Above,Below,Average,Average,17048,23834,15626
825,Fairview Ridges Hospital,Burnsville,Minnesota,MN,Same,19431,Same,5,Average,Same,Same,Average,Average,Average,Lower,Average,Above,Church,Above,Above,Average,Average,16751,23186,16780
826,Healtheast St John's Hospital,Maplewood,Minnesota,MN,Same,23184,Same,2,Average,Same,Same,Average,Average,Average,Average,Average,Above,Private,Below,Above,Average,Average,16486,25898,17472
827,University Of Mississippi Med Center,Jackson,Mississippi,MS,Below,22292,Below,1,Lower,Below,Below,Average,Average,Worse,Average,Average,Below,Government,Below,Below,Average,Average,17984,24379,15080
828,North Mississippi Medical Center,Tupelo,Mississippi,MS,Same,20612,Below,3,Average,Above,Same,Average,Worse,Worse,Lower,Worse,Same,Private,Above,Above,Higher,Higher,18623,25516,16855
829,Memorial Hospital At Gulfport,Gulfport,Mississippi,MS,Same,22989,Below,1,Average,Same,Above,Average,Average,Average,Higher,Average,Below,Government,Below,Below,Higher,Higher,20046,28645,17258
830,Merit Health River Region,Vicksburg,,MS,Same,23564,Same,1,Average,Below,Below,Average,Average,Average,Average,Average,Same,Proprietary,Below,Below,Average,Higher,20984,22308,17709
831,Baptist Memorial Hospital North Ms,Oxford,Mississippi,MS,Same,24861,Same,2,Average,Above,Same,Worse,Average,Average,Higher,Average,Same,Private,Same,Below,Average,Average,17846,23298,16466
832,Singing River Hospital,Pascagoula,Mississippi,MS,Same,22524,Below,2,Average,Same,Below,Average,Average,Average,Average,Worse,Below,Government,Below,Below,Higher,Average,17866,25638,16105
833,St Dominic-jackson Memorial Hospital,Jackson,,MS,Below,22591,Same,2,Lower,Below,Same,Average,Average,Average,Average,Average,Same,Church,Below,Below,Lower,Lower,16809,19128,15553
834,South Central Reg Med Ctr,Laurel,Mississippi,MS,Same,26280,Same,3,Lower,Above,Same,Average,Average,Average,Higher,Average,Same,Government,Above,Below,Average,Lower,15745,22446,14643
835,Rush Foundation Hospital,Meridian,Mississippi,MS,Same,34771,Below,2,Higher,Same,Below,Average,Average,Average,Higher,Worse,Below,Private,Below,Above,Average,Higher,21543,25489,19569
836,Merit Health Central,Jackson,Mississippi,MS,Same,28034,Same,2,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Below,Same,Average,Higher,19689,25091,19695
837,Forrest General Hospital,Hattiesburg,Mississippi,MS,Below,24194,Below,1,Average,Same,Same,Worse,Average,Worse,Higher,Worse,Above,Government,Below,Below,Higher,Higher,18872,26602,16609
838,Delta Regional Medical Center,Greenville,Mississippi,MS,Same,27159,Same,2,Lower,Below,Below,Average,Average,Average,Higher,Average,Same,Government,Above,Below,Average,Average,17101,24845,15304
839,Merit Health Wesley,Hattiesburg,Mississippi,MS,Same,22996,Same,2,Average,Above,Same,Average,Average,Average,Average,Average,Same,Private,Below,Below,Higher,Lower,16156,26378,17624
840,Southwest Ms Regional Medical Center,Mccomb,Mississippi,MS,Same,26237,Same,2,Lower,Above,Below,Average,Average,Average,Higher,Average,Same,Government,Same,Above,Average,Average,17530,22920,15088
841,Greenwood Leflore Hospital,Greenwood,Mississippi,MS,Same,33647,Same,2,Average,Same,Below,Average,Average,Average,Higher,Average,Same,Government,Below,Below,Average,Average,16975,23094,16279
842,Baptist Mem Hosp/ Golden Triangle Inc,Columbus,Mississippi,MS,Above,22386,Below,2,Average,Above,Same,Average,Average,Worse,Average,Worse,Below,Private,Above,Below,Average,Average,18035,25110,17172
843,Mississippi Baptist Medical Center,Jackson,Mississippi,MS,Below,22378,Above,3,Average,Same,Above,Average,Average,Average,Higher,Better,Above,Private,Same,Below,Lower,Average,17434,21861,16438
844,Anderson Regional Medical Ctr,Meridian,Mississippi,MS,Same,26346,Below,1,Average,Same,Same,Average,Average,Average,Higher,Average,Below,Private,Below,Below,Average,Average,17854,22399,17570
845,University Of Mississippi Medical Center- Grenada,Grenada,Mississippi,MS,Same,27786,Same,2,Higher,Above,Below,Average,Average,Average,Higher,Average,Same,Government,Above,Below,Average,Higher,20027,23794,20556
846,Mercy Hospital Joplin,Joplin,,MO,Same,24953,Same,3,Higher,Same,Same,Average,Average,Average,Average,Average,Same,Church,Above,Below,Higher,Higher,20431,26825,18210
847,Ssm Health St Joseph Hospital-st Charles,Saint Charles,Missouri,MO,Same,21948,,2,Average,Same,Below,Average,Average,Average,Average,Worse,Same,Private,Below,Above,Average,Average,17922,23977,17046
848,Mosaic Life Care At St Joseph,Saint Joseph,Missouri,MO,Same,20838,Same,5,Lower,Same,Same,Average,Average,Average,Lower,Better,Above,Private,Above,Above,Average,Average,16920,23846,15648
849,Bothwell Regional Health Center,Sedalia,Missouri,MO,Same,17249,,3,Lower,Same,Below,Average,Average,Average,Lower,Average,Below,Government,Same,Below,Average,Lower,15404,23355,14923
850,Ssm Health St. Mary's Hospital - Jefferson City,Jefferson City,Missouri,MO,Same,21629,Same,4,Average,Above,Above,Average,Average,Average,Average,Average,Same,Proprietary,Above,Above,Average,Lower,16063,25162,17440
851,Phelps County Regional Medical Center,Rolla,,MO,Same,23439,Below,3,Higher,Same,Same,Average,Average,Average,Higher,Average,Below,Government,Above,Above,Average,Average,17338,26109,19382
852,Mercy Hospital St Louis,Saint Louis,Missouri,MO,Same,20074,Above,5,Average,Same,Above,Average,Average,Better,Lower,Average,Same,Private,Above,Above,Average,Higher,18559,25396,17083
853,Northeast Regional Medical Center,Kirksville,Missouri,MO,Above,22507,,4,Average,Above,Same,Average,Average,Average,Average,Average,Same,Proprietary,Same,Above,Average,Average,18502,24585,16650
854,Mercy Hospital Jefferson,Festus,Missouri,MO,Same,23044,Same,3,Higher,Same,Below,Worse,Average,Average,Average,Average,Same,Private,Above,Below,Average,Higher,19352,25343,18884
855,Hannibal Regional Hospital,Hannibal,Missouri,MO,Same,19279,Same,3,Average,Above,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Same,Lower,Lower,15739,20992,15542
856,Research Medical Center,Kansas City,Missouri,MO,Above,22513,Same,2,Average,Above,Below,Average,Average,Average,Average,Average,Above,Proprietary,Above,Below,Average,Average,18174,25350,15407
857,Cox Medical Centers,Springfield,Missouri,MO,Same,19523,Below,3,Lower,Below,Below,Average,Average,Worse,Lower,Average,Same,Private,Above,Above,Lower,Average,17160,22231,14735
858,Capital Region Medical Center,Jefferson City,Missouri,MO,Above,20890,Below,3,Lower,Above,Above,Average,Average,Average,Lower,Average,Same,Private,Same,Above,Average,Lower,16147,23399,15417
859,Mercy Hospital Washington,Washington,Missouri,MO,Same,20021,Same,4,Average,Above,Below,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,18511,23370,16358
860,Saint Lukes North Hospital,Kansas City,Missouri,MO,Same,22115,Same,4,Average,Same,Above,Average,Average,Average,Average,Average,Same,Private,Same,Same,Average,Average,17521,25944,16616
861,Ssm Health St. Mary's Hospital-audrain,Mexico,Missouri,MO,Same,17993,Same,3,Average,Above,Same,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,18360,22358,17009
862,Mercy Hospital Springfield,Springfield,Missouri,MO,Below,18622,Same,5,Average,Same,Below,Better,Average,Average,Lower,Average,Above,Private,Above,Above,Average,Higher,18501,22744,17130
863,St Anthony's Medical Center,Saint Louis,Missouri,MO,Same,20344,Same,1,Average,Same,Below,Average,Average,Average,Lower,Average,Same,Private,Below,Below,Higher,Average,17099,26003,17260
864,Ssm Health St Clare Hospital - Fenton,Fenton,Missouri,MO,Same,21589,Same,4,Average,Same,Above,Average,Average,Average,Average,Average,Same,Private,Below,Above,Average,Lower,16451,23814,16525
865,St Joseph Medical Center,Kansas City,Missouri,MO,Same,21281,,4,Average,Above,Below,Average,Average,Better,Average,Better,Same,Private,Above,Same,Average,Higher,19907,21957,16564
866,Ssm Health St Mary's Hospital - St Louis,Richmond Heights,,MO,Same,20750,Above,2,Lower,Same,Same,Average,Average,Average,Lower,Average,Same,Private,Below,Above,Average,Average,18345,25069,15346
867,Cox Medical Center Branson,Branson,Missouri,MO,Same,19465,Same,3,Average,Below,Same,Average,Average,Average,Lower,Average,Same,Private,Same,Above,Average,Higher,19132,24641,17696
868,Centerpoint Medical Center,Independence,Missouri,MO,Same,21916,Below,2,Average,Same,Same,Average,Average,Average,Average,Worse,Same,Proprietary,Above,Below,Average,Higher,18658,23290,16943
869,North Kansas City Hospital,North Kansas City,Missouri,MO,Same,24135,Same,3,Average,Above,Above,Average,Average,Average,Higher,Average,Below,Government,Above,Below,Average,Higher,18188,23686,16213
870,Ssm Health Depaul Hospital St Louis,Bridgeton,Missouri,MO,Same,20986,Above,2,Higher,Below,Below,Average,Average,Better,Lower,Average,Same,Private,Same,Below,Average,Higher,19299,23930,17608
871,Missouri Baptist Medical Center,Town And Country,Missouri,MO,Same,20656,Same,4,Average,Same,Above,Average,Average,Average,Lower,Average,Above,Private,Above,Above,Average,Average,17079,23356,16790
872,Southeasthealth,Cape Girardeau,Missouri,MO,Same,20164,Below,1,Average,Above,Same,Average,Average,Worse,Lower,Average,Below,Private,Below,Below,Average,Lower,16544,25582,16880
873,Poplar Bluff Regional Medical Center,Poplar Bluff,Missouri,MO,Same,21916,Below,1,Lower,Same,Below,Average,Average,Average,Average,Worse,Below,Proprietary,Above,Below,Average,Lower,16089,25430,15318
874,Freeman Health System - Freeman West,Joplin,,MO,Below,21152,Below,2,Average,Below,Below,Average,Worse,Average,Lower,Average,Same,Private,Below,Above,Average,Lower,16531,23964,16306
875,St Lukes Hospital Of Kansas City,Kansas City,Missouri,MO,Same,22213,Above,4,Higher,Same,Above,Average,Average,Average,Average,Average,Above,Government,Below,Below,Average,Average,18377,22830,17901
876,University Of Missouri Health Care,Columbia,Missouri,MO,Above,20860,Below,1,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Government,Below,Below,Lower,Average,17324,21590,16810
877,Golden Valley Memorial Hospital,Clinton,Missouri,MO,Same,19591,Same,3,Lower,Same,Same,Average,Average,Average,Lower,Average,Above,Government,Same,Same,Average,Lower,15733,23998,14687
878,Liberty Hospital,Liberty,Missouri,MO,Same,23338,Same,4,Average,Above,Same,Average,Average,Average,Higher,Average,Same,Government,Above,Same,Average,Average,17145,25414,16732
879,St Lukes Hospital,Chesterfield,Missouri,MO,Same,21289,Above,5,Average,Same,Above,Average,Average,Better,Lower,Better,Same,Private,Above,Above,Average,Average,17220,25162,17392
880,Christian Hospital Northeast-northwest,Saint Louis,Missouri,MO,Same,22744,Same,1,Average,Below,Below,Average,Average,Average,Average,Average,Same,Private,Below,Below,Average,Higher,19016,25712,17319
881,Saint Francis Medical Center,Cape Girardeau,Missouri,MO,Same,19497,Below,3,Lower,Above,Above,Average,Average,Worse,Lower,Average,Below,Church,Above,Below,Average,Lower,16687,24113,14616
882,Lee's Summit Medical Center,Lees Summit,Missouri,MO,Same,22532,Same,3,Average,Above,Above,Average,Average,Average,Average,Average,Same,Proprietary,Above,Below,Average,Average,16957,23144,15346
883,St Mary's Medical Center,Blue Springs,Missouri,MO,Same,24265,Above,4,Average,Above,Below,Average,Average,Better,Higher,Better,Same,Church,Above,Below,Average,Higher,18528,24350,16374
884,Citizens Memorial Hospital,Bolivar,Missouri,MO,Same,18446,Below,2,Average,Above,Same,Average,Average,Average,Lower,Worse,Same,Government,Above,Same,Average,Average,17599,22804,16121
885,Ssm Health Saint Joseph Hospital-lake Saint Louis,Lake Saint Louis,Missouri,MO,Same,21762,Same,4,Average,Same,Above,Average,Average,Average,Average,Average,Same,Church,Above,Above,Average,Average,18245,24911,16996
886,Saint Luke's East Lee's Summit Hospital,Lees Summit,Missouri,MO,Same,21831,Above,4,Average,Same,Above,Average,Average,Average,Average,Better,Above,Private,Above,Below,Average,Average,16695,22620,16386
887,Progress West Hospital,O Fallon,Missouri,MO,Same,20958,Same,4,Average,Same,Above,Average,Average,Average,Average,Average,Same,Private,Above,Same,Average,Average,17281,23937,17274
888,St Peters Hospital,Helena,Montana,MT,Same,19551,Same,3,Lower,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Below,Above,Lower,Lower,15529,20647,14568
889,Billings Clinic Hospital,Billings,Montana,MT,Same,18830,Same,3,Average,Below,Above,Average,Average,Average,Lower,Average,Same,Private,Same,Above,Higher,Lower,15704,25587,16052
890,Benefis Hospitals Inc,Great Falls,Montana,MT,Same,20856,,3,Lower,Same,Below,Average,Average,Worse,Lower,Average,Same,Private,Below,Above,Average,Average,16937,23130,15005
891,St Patrick Hospital,Missoula,Montana,MT,Same,17795,Same,5,Lower,Above,Above,Average,Average,Worse,Lower,Average,Same,Church,Above,Above,Average,Lower,16242,22751,15347
892,St James Healthcare,Butte,Montana,MT,Same,22274,Same,3,Average,Above,Same,Average,Average,Average,Average,Average,Same,Private,Same,Same,Average,Average,17557,22600,15594
893,Community Medical Center,Missoula,,MT,Same,18633,Same,4,Average,Above,Below,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,16771,24834,16562
894,St Vincent Healthcare,Billings,Montana,MT,Same,19022,Below,5,Average,Above,Above,Average,Average,Worse,Lower,Average,Same,Church,Above,Above,Average,Average,17028,22758,16327
895,Kalispell Regional Medical Center,Kalispell,Montana,MT,Same,18587,Same,5,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Lower,16142,23427,15455
896,Bozeman Health Deaconess Hospital,Bozeman,Montana,MT,Same,18949,Same,4,Average,Same,Above,Average,Average,Average,Lower,Average,Same,Private,Below,Above,Average,Average,16803,22556,16059
897,Bryan Medical Center,Lincoln,Nebraska,NE,Same,22951,Below,3,Average,Same,Above,Average,Average,Worse,Higher,Average,Same,Private,Below,Above,Higher,Average,17552,26686,17192
898,Chi Health Good Samaritan,Kearney,Nebraska,NE,Same,19748,Same,2,Higher,Above,Below,Average,Average,Average,Lower,Average,Same,Church,Below,Above,Higher,Average,17847,27764,18274
899,The Nebraska Medical Center,Omaha,Nebraska,NE,Same,22405,Same,3,Average,Below,Above,Average,Average,Average,Average,Average,Above,Private,Above,Below,Average,Higher,18547,22781,17318
900,Chi Health St Elizabeth,Lincoln,Nebraska,NE,Same,20265,Same,3,Average,Below,Below,Average,Average,Average,Lower,Average,Same,Private,Above,Above,Average,Average,17908,24848,17696
901,Chi Health St Francis,Grand Island,Nebraska,NE,Same,21233,Same,3,Average,Above,Below,Average,Average,Average,Average,Average,Below,Church,Below,Above,Average,Average,16616,22889,15492
902,Methodist Hospital,Omaha,Nebraska,NE,Below,21375,Same,4,Average,Above,Above,Average,Average,Average,Lower,Average,Above,Private,Below,Above,Average,Higher,18350,24650,17159
903,Chi Health Creighton University Medical Center - B,Omaha,Nebraska,NE,Same,22174,,3,Higher,Same,Below,Average,Average,Average,Average,Average,Same,Private,Below,Below,Average,Higher,19066,25064,18383
904,Regional West Medical Center,Scottsbluff,Nebraska,NE,Same,21460,Same,1,Average,Same,Below,Average,Average,Average,Average,Average,Same,Private,Below,Above,Average,Average,17696,25212,15900
905,Great Plains Health,North Platte,Nebraska,NE,Same,21806,Same,3,Average,Above,Below,Average,Average,Average,Average,Average,Same,Private,Above,Same,Average,Average,16927,23461,16615
906,Methodist Fremont Health,Fremont,Nebraska,NE,Same,22526,Same,4,Average,Above,Above,Average,Average,Average,Average,Average,Below,Government,Same,Above,Average,Average,16736,25299,17516
907,Chi Health Immanuel,Omaha,Nebraska,NE,Same,20519,Same,3,Higher,Above,Same,Average,Average,Average,Lower,Average,Same,Private,Same,Above,Average,Higher,19664,24165,18668
908,Faith Regional Health Services,Norfolk,Nebraska,NE,Same,25049,Same,4,Higher,Above,Same,Average,Average,Average,Higher,Average,Same,Private,Above,Above,Higher,Average,18194,27775,18657
909,Chi Health Lakeside,Omaha,Nebraska,NE,Same,22225,Same,3,Average,Above,Same,Average,Average,Average,Average,Average,Above,Church,Below,Above,Average,Average,18480,24334,16792
910,Bellevue Medical Center,Bellevue,Nebraska,NE,Same,21585,Below,2,Average,Above,Above,Average,Average,Average,Average,Average,Same,Proprietary,Below,Below,Average,Lower,14879,25098,17810
911,Kearney Regional Medical Center,Kearney,Nebraska,NE,Same,22422,Same,4,Average,Above,Same,Average,Average,Average,Average,Average,Below,Proprietary,Above,Above,Higher,Average,17720,29353,16630
912,Renown Regional Medical Center,Reno,Nevada,NV,Same,18106,Below,1,Average,Below,Below,Average,Average,Average,Lower,Worse,Same,Private,Below,Above,Lower,Higher,18152,21326,16826
913,Sunrise Hospital And Medical Center,Las Vegas,Nevada,NV,Same,26252,Below,1,Higher,Below,Below,Average,Average,Average,Higher,Worse,Above,Proprietary,Below,Below,Higher,Higher,22337,28066,20341
914,University Medical Center,Las Vegas,Nevada,NV,Same,25343,Same,1,Average,Below,Below,Average,Average,Average,Higher,Average,Same,Government,Below,Below,Average,Higher,20964,25480,17450
915,Northeastern Nevada Regional Hospital,Elko,Nevada,NV,Same,20981,Same,3,Average,Same,Below,Average,Average,Average,Average,Average,Same,Proprietary,Same,Same,Average,Lower,14615,23789,17527
916,Saint Mary's Regional Medical Center,Reno,Nevada,NV,Same,18732,Same,4,Average,Same,Below,Average,Average,Average,Lower,Average,Same,Private,Above,Below,Lower,Average,17942,21146,15914
917,St Rose Dominican Hospitals - Rose De Lima Campus,Henderson,Nevada,NV,Same,19664,Below,2,Higher,Below,Below,Average,Average,Average,Lower,Worse,Above,Church,Above,Same,Average,Higher,21661,26478,20603
918,Carson Tahoe Regional Medical Center,Carson City,Nevada,NV,Same,20371,Same,4,Lower,Same,Same,Average,Average,Average,Lower,Average,Below,Private,Above,Below,Lower,Lower,16317,22062,15191
919,Valley Hospital Medical Center,Las Vegas,Nevada,NV,Below,26885,Same,1,Higher,Below,Below,Average,Average,Average,Higher,Average,Above,Proprietary,Below,Below,Average,Higher,19701,22883,18805
920,Desert Springs Hospital,Las Vegas,Nevada,NV,Same,27040,,1,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Below,Below,Average,Higher,20947,26009,20069
921,Northern Nevada Medical Center,Sparks,Nevada,NV,Same,17945,Same,3,Average,Above,Same,Average,Average,Average,Lower,Average,Same,Proprietary,Above,Below,Average,Average,17013,23722,17414
922,Mountainview Hospital,Las Vegas,Nevada,NV,Same,25905,Above,3,Higher,Below,Below,Average,Average,Better,Higher,Average,Above,Proprietary,Above,Below,Higher,Higher,21128,26268,19624
923,Summerlin Hospital Medical Center,Las Vegas,Nevada,NV,Same,24554,Same,1,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Below,Below,Average,Higher,19603,23728,19736
924,St Rose Dominican Hospitals - Siena Campus,Henderson,Nevada,NV,Same,22922,Below,1,Higher,Below,Below,Worse,Average,Worse,Higher,Average,Above,Private,Below,Same,Higher,Higher,21678,26473,21324
925,Spring Valley Hospital Medical Center,Las Vegas,Nevada,NV,Same,27292,Same,1,Higher,Below,Below,Average,Average,Average,Higher,Average,Same,Proprietary,Below,Below,Higher,Higher,20346,26401,18229
926,Southern Hills Hospital And Medical Center,Las Vegas,Nevada,NV,Same,24582,Same,1,Higher,Above,Below,Average,Average,Average,Higher,Average,Above,Private,Below,Below,Average,Higher,20897,24402,18927
